"OBJECTID","Reg_Code","Reg_Name","Pro_Code","Pro_Name","Mun_Code","Mun_Name","Shape_Leng","Shape_Area","area","population","N_data","N_data_1","Wind_Speed"
29,"PH010000000","REGION I (ILOCOS REGION)","PH012900000","ILOCOS SUR","PH012906000","CITY OF CANDON",0.57568885342,0.00658936587,81.1875768843,19917.7314799,1,NA,7.43738960728613
30,"PH010000000","REGION I (ILOCOS REGION)","PH012900000","ILOCOS SUR","PH012907000","CAOAYAN",0.24336175988,0.00149059011,18.3655607453,4505.61922699,2,NA,24.1374171383616
31,"PH010000000","REGION I (ILOCOS REGION)","PH012900000","ILOCOS SUR","PH012908000","CERVANTES",0.58064051847,0.0206179627,254.033918427,62322.0887751,1,NA,7.43738960728613
32,"PH010000000","REGION I (ILOCOS REGION)","PH012900000","ILOCOS SUR","PH012909000","GALIMUYOD",0.30347543276,0.00289812041,35.7077415716,8760.17286968,3,NA,7.43738960728613
33,"PH010000000","REGION I (ILOCOS REGION)","PH012900000","ILOCOS SUR","PH012910000","GREGORIO DEL PILAR (CONCEPCION)",0.30149883636,0.00459254333,56.5847263689,13881.919241,1,NA,7.43738960728613
34,"PH010000000","REGION I (ILOCOS REGION)","PH012900000","ILOCOS SUR","PH012911000","LIDLIDDA",0.21294671489,0.00290169781,35.751818717,8770.98630667,1,NA,24.1374171383616
35,"PH010000000","REGION I (ILOCOS REGION)","PH012900000","ILOCOS SUR","PH012912000","MAGSINGAL",0.44959618996,0.00701929153,86.4846909411,21217.2713781,1,NA,24.1374171383616
36,"PH010000000","REGION I (ILOCOS REGION)","PH012900000","ILOCOS SUR","PH012913000","NAGBUKEL",0.29545040072,0.00360796624,44.453752043,10905.8298135,2,NA,24.1374171383616
37,"PH010000000","REGION I (ILOCOS REGION)","PH012900000","ILOCOS SUR","PH012914000","NARVACAN",0.5754360308,0.00879194702,108.325579233,26575.4919948,2,NA,24.1374171383616
38,"PH010000000","REGION I (ILOCOS REGION)","PH012900000","ILOCOS SUR","PH012915000","QUIRINO (ANGKAKI)",0.57284416704,0.01548908362,190.840999282,46818.9829643,1,NA,7.43738960728613
39,"PH010000000","REGION I (ILOCOS REGION)","PH012900000","ILOCOS SUR","PH012916000","SALCEDO (BAUGEN)",0.38075108055,0.00704455269,86.7959336935,21293.6284983,2,NA,7.43738960728613
40,"PH010000000","REGION I (ILOCOS REGION)","PH012900000","ILOCOS SUR","PH012917000","SAN EMILIO",0.49014732607,0.01286740158,158.539254867,38894.402674,2,NA,24.1374171383616
41,"PH010000000","REGION I (ILOCOS REGION)","PH012900000","ILOCOS SUR","PH012918000","SAN ESTEBAN",0.20116141952,0.00148013108,18.2366950367,4474.0046293,2,NA,24.1374171383616
42,"PH010000000","REGION I (ILOCOS REGION)","PH012900000","ILOCOS SUR","PH012919000","SAN ILDEFONSO",0.18640915599,0.00099967223,12.3169615458,3021.71763381,3,NA,24.1374171383616
43,"PH010000000","REGION I (ILOCOS REGION)","PH012900000","ILOCOS SUR","PH012920000","SAN JUAN (LAPOG)",0.40790711127,0.0058332086,71.8709631606,17632.088558,3,NA,24.1374171383616
44,"PH010000000","REGION I (ILOCOS REGION)","PH012900000","ILOCOS SUR","PH012921000","SAN VICENTE",0.21085236061,0.00112488158,13.8596659472,3400.18898619,4,NA,24.1374171383616
45,"PH010000000","REGION I (ILOCOS REGION)","PH012900000","ILOCOS SUR","PH012922000","SANTA",0.48120297038,0.00504026219,62.101070443,15235.2427941,1,NA,24.1374171383616
46,"PH010000000","REGION I (ILOCOS REGION)","PH012900000","ILOCOS SUR","PH012923000","SANTA CATALINA",0.15480147264,0.0007615941,9.3836009061,2302.07687352,2,NA,24.1374171383616
47,"PH010000000","REGION I (ILOCOS REGION)","PH012900000","ILOCOS SUR","PH012924000","SANTA CRUZ",0.3730828245,0.00780517371,96.1675452809,23592.7640348,2,NA,7.43738960728613
48,"PH010000000","REGION I (ILOCOS REGION)","PH012900000","ILOCOS SUR","PH012925000","SANTA LUCIA",0.29486469696,0.00375480186,46.2629137171,11349.6710736,1,NA,7.43738960728613
49,"PH010000000","REGION I (ILOCOS REGION)","PH012900000","ILOCOS SUR","PH012926000","SANTA MARIA",0.38091474228,0.00480256807,59.1724411905,14516.7627841,3,NA,24.1374171383616
50,"PH010000000","REGION I (ILOCOS REGION)","PH012900000","ILOCOS SUR","PH012927000","SANTIAGO",0.31889459969,0.00405803831,49.9990900175,12266.2664342,2,NA,24.1374171383616
51,"PH010000000","REGION I (ILOCOS REGION)","PH012900000","ILOCOS SUR","PH012928000","SANTO DOMINGO",0.36383657411,0.00413539296,50.9521766602,12500.0869835,1,NA,24.1374171383616
