,OBJECTID,Reg_Code,Reg_Name,Pro_Code,Pro_Name,Mun_Code,Mun_Name,Shape_Leng,Shape_Area,area,population,N_data,N_data_1,Wind_Speed,wind_10-31_3,wind_10-31_6,wind_10-31_9,wind_10-31_12,wind_10-31_15,wind_10-31_18,wind_10-31_21,wind_11-01_0,wind_11-01_3,wind_11-01_6,wind_11-01_9,wind_11-01_12,wind_11-01_15,wind_11-01_18,wind_11-01_21,wind_11-02_0,Max_Wind_Speed
0,1,PH010000000,REGION I (ILOCOS REGION),PH012800000,ILOCOS NORTE,PH012801000,ADAMS,0.42360391896,0.00950603858,117.12390134399999,18640.3630197,3,,15.689561698307099,15.689561698307099,14.3298141213655,15.918865043740402,16.397196359407598,13.381314547550199,10.7196372683413,10.240014922747001,10.7681635798215,14.5870126826209,15.4637384806834,15.378402873916901,18.1290875846004,16.625657214086,17.4912718700136,19.679556845508397,16.2310249994636,19.679556845508397
1,2,PH010000000,REGION I (ILOCOS REGION),PH012800000,ILOCOS NORTE,PH012802000,BACARRA,0.3091357311,0.004725094910000001,58.2178943861,9265.42467545,3,,55.560515425410394,55.560515425410394,53.9643286899224,55.506295206675,50.1796081973119,46.675192449282996,42.9641660418637,43.11385723140221,45.2182059548042,48.68719639718721,53.5181735535775,55.619411960583896,54.3166975039141,57.0077745279509,58.292618819537,60.201331906234294,51.00822828889339,60.201331906234294
2,3,PH010000000,REGION I (ILOCOS REGION),PH012800000,ILOCOS NORTE,PH012803000,BADOC,0.59929462278,0.00687978522,84.76583369560001,13490.5505505,1,,31.5571660465163,31.5571660465163,32.905253216340796,36.9486169126272,29.564164077826,17.5591021934287,18.3337540600535,20.252296663514198,17.3387877008379,35.1924906112929,33.9627689575808,34.4167313533768,30.790660012670998,23.8237328850118,25.0627883303927,20.673842122074,14.6568843523034,36.9486169126272
3,4,PH010000000,REGION I (ILOCOS REGION),PH012800000,ILOCOS NORTE,PH012804000,BANGUI,0.48291146545,0.00984290535,121.27443681700001,19300.9240756,5,,55.560515425410394,55.560515425410394,53.9643286899224,55.506295206675,50.1796081973119,46.675192449282996,42.9641660418637,43.11385723140221,45.2182059548042,48.68719639718721,53.5181735535775,55.619411960583896,54.3166975039141,57.0077745279509,58.292618819537,60.201331906234294,51.00822828889339,60.201331906234294
4,5,PH010000000,REGION I (ILOCOS REGION),PH012800000,ILOCOS NORTE,PH012805000,CITY OF BATAC,0.61349958714,0.013492712340000003,166.243708741,26457.8198396,3,,31.5571660465163,31.5571660465163,32.905253216340796,36.9486169126272,29.564164077826,17.5591021934287,18.3337540600535,20.252296663514198,17.3387877008379,35.1924906112929,33.9627689575808,34.4167313533768,30.790660012670998,23.8237328850118,25.0627883303927,20.673842122074,14.6568843523034,36.9486169126272
5,6,PH010000000,REGION I (ILOCOS REGION),PH012800000,ILOCOS NORTE,PH012806000,BURGOS,0.5084006626500001,0.01172838041,144.50537503200002,22998.146560900004,4,,55.560515425410394,55.560515425410394,53.9643286899224,55.506295206675,50.1796081973119,46.675192449282996,42.9641660418637,43.11385723140221,45.2182059548042,48.68719639718721,53.5181735535775,55.619411960583896,54.3166975039141,57.0077745279509,58.292618819537,60.201331906234294,51.00822828889339,60.201331906234294
6,7,PH010000000,REGION I (ILOCOS REGION),PH012800000,ILOCOS NORTE,PH012807000,CARASI,0.52642257361,0.014781502549999999,182.122892919,28985.004762,2,,15.689561698307099,15.689561698307099,14.3298141213655,15.918865043740402,16.397196359407598,13.381314547550199,10.7196372683413,10.240014922747001,10.7681635798215,14.5870126826209,15.4637384806834,15.378402873916901,18.1290875846004,16.625657214086,17.4912718700136,19.679556845508397,16.2310249994636,19.679556845508397
7,8,PH010000000,REGION I (ILOCOS REGION),PH012800000,ILOCOS NORTE,PH012808000,CURRIMAO,0.39736470651999994,0.0028473707300000002,35.082454764299996,5583.400868,1,,31.5571660465163,31.5571660465163,32.905253216340796,36.9486169126272,29.564164077826,17.5591021934287,18.3337540600535,20.252296663514198,17.3387877008379,35.1924906112929,33.9627689575808,34.4167313533768,30.790660012670998,23.8237328850118,25.0627883303927,20.673842122074,14.6568843523034,36.9486169126272
8,9,PH010000000,REGION I (ILOCOS REGION),PH012800000,ILOCOS NORTE,PH012809000,DINGRAS,0.5126475308699999,0.00924884305,113.954995219,18136.0290633,3,,31.5571660465163,31.5571660465163,32.905253216340796,36.9486169126272,29.564164077826,17.5591021934287,18.3337540600535,20.252296663514198,17.3387877008379,35.1924906112929,33.9627689575808,34.4167313533768,30.790660012670998,23.8237328850118,25.0627883303927,20.673842122074,14.6568843523034,36.9486169126272
9,10,PH010000000,REGION I (ILOCOS REGION),PH012800000,ILOCOS NORTE,PH012810000,DUMALNEG,0.37749067894,0.00570968637,70.3490457648,11196.107166,1,,15.689561698307099,15.689561698307099,14.3298141213655,15.918865043740402,16.397196359407598,13.381314547550199,10.7196372683413,10.240014922747001,10.7681635798215,14.5870126826209,15.4637384806834,15.378402873916901,18.1290875846004,16.625657214086,17.4912718700136,19.679556845508397,16.2310249994636,19.679556845508397
