"disaster_type","disaster_name","pcode","Completely.damaged..abs..","Partly.damaged..abs..","Total.damaged.houses..abs..","total_damage_houses_0p25weight","Partly.damaged..rel..","Completely.damaged..rel..","Total.damaged.houses..rel..","total_damage_houses_0p25weight_perc","ratio_comp_part","Total...of.houses","Wind.speed","Distance.to.typhoon","rainfall","distance_first_impact","Slope","Elevation","ruggedness_stdev","Ruggedness","slope_stdev","Population","land_area","Population.density","Poverty.incidence","X..strong.roof.type","X..strong.wall.type","X..skilled.Agriculture.Forestry.Fishermen","Region","prov","Experience","Prop.Completely.Damaged","Prop.Damaged","td.residual"
"Typhoon","Sarika","PH013314000",1,2,3,1.5,0.006567497,0.003283749,0.009851246,0.004925623,0.996737677,30453.00056,80.82673526,45.6769065,164.4,152.4191805,7.821418481,104.1886028,28.93541692,39.13829518,6.467669654,121812,112.6058,1081.7616,0.0876,0.994948409,0.835053024,0.039493607,"north luzon","0",3.210526316,0.333333367170001,9.851246e-05,-0.0981678833787695
"Typhoon","Rammasun","PH084815000",582,2833,3415,1290.25,34.27499849,7.041316315,41.3163148,15.61006594,0.227960784,8265.5,66.83591309,52.76371893,311.6,109.2415765,6.598409491,63.10325077,31.73996884,34.4838915,6.681855699,33071,198.2528,166.8081,0.5546,0.417937972,0.31969824,0.133990684,"central","0",2.333333333,0.170424597379629,0.413163148,0.192704992691607
"Typhoon","Kalmaegi","PH148107000",1,127,128,32.75,3.731727026,0.029383677,3.761110703,0.962315434,0.217549252,3403.25,78.96425277,37.23471895,116.4,96.59828993,1.142357213,16.73672709,5.485839838,7.236055839,1.115613666,13608,74.7498,182.0463,0.3263,0.901317904,0.69013179,0.127157864,"north luzon","0",4.214285714,0.00781249990237259,0.03761110703,-0.0684089948678393
"Typhoon","Koppu","PH015502000",96,1073,1169,364.25,10.35139763,0.926126908,11.27752454,3.513976316,0.169681917,10365.75,75.05509122,50.46292057,393.12,164.1235941,8.768029875,208.2885092,33.22499771,42.56783509,7.375854397,41463,179.6263,230.8281,0.1384,0.91968339,0.738563613,0.071847189,"north luzon","0",2.568181818,0.0821214713135973,0.1127752454,0.0346488854131615
"Typhoon","Kalmaegi","PH148104000",1,8,9,3,0.205959967,0.025744996,0.231704962,0.077234987,0.850563057,3884.250006,79.94424122,4.146890744,127.4666667,110.9899578,16.267337,529.8477537,39.05044626,81.94925268,8.481826465,15541,1135.86,13.6821,0.639,0.896805112,0.403833866,0.281392804,"north luzon","0",4.214285714,0.111111112070185,0.00231704962,-0.128689801921094
"Typhoon","Rammasun","PH175903000",1,1,2,1.25,0.018297425,0.018297425,0.036594849,0.022871781,1,5465.250041,50,126.4316992,192,187.7150733,14.89035769,233.4184704,43.5092993,74.64245511,9.324417385,21861,150.6262,145.1345,0.3813,0.620076752,0.484346597,0.141301862,"central","0",2.034482759,0.500000013663125,0.00036594849,-0.0918634265311465
"Typhoon","Koppu","PH015534000",43,141,184,78.25,1.380728555,0.421073247,1.801801802,0.766255386,0.596906877,10212,91.809611,13.3719986,466.8,136.5944753,1.536265844,25.85250098,7.703857374,9.015070429,1.631905759,40848,48.3433,844.9694,0.1277,0.94211288,0.785038406,0.046954563,"north luzon","0",2.568181818,0.233695652059293,0.01801801802,-0.106814173149788
"Typhoon","Kalmaegi","PH143209000",3,90,93,25.5,1.12408668,0.037469556,1.161556236,0.318491226,0.488430894,8006.499997,75.18472285,39.98083147,143.1,85.15081076,10.71096268,285.4164996,36.24261293,52.97068843,7.911163275,32032,421.7232,75.955,0.3192,0.833972515,0.356024289,0.157840505,"north luzon","0",4.28,0.032258064516129,0.01161556236,-0.140624004161966
"Typhoon","Haima","PH021509000",1,1,2,1.25,0.023949228,0.023949228,0.047898455,0.029936535,1,4175.500024,70.61975385,136.7899083,60.22857143,177.2793498,10.76665524,202.1759653,37.79290629,52.62061341,7.777422982,16702,579.3675,28.828,0.4737,0.551635334,0.393767705,0.212190157,"north luzon","0",3.216216216,0.50000001043875,0.00047898455,-0.164555489034842
"Typhoon","Rammasun","PH037104000",1,39,40,10.75,0.240588517,0.006168936,0.246757453,0.066316065,0.811041633,16210.24999,62.27966257,57.43899981,192.96,475.5848188,8.012158961,155.5668749,42.29583938,40.14021837,8.776446254,64841,118.5597,546.9026,0.0775,0.945219483,0.886330849,0.027575145,"metro luzon","0",2.777777778,0.0249999986829172,0.00246757453,-0.0108250987084283
