disaster_type,disaster_name,pcode,Completely damaged (abs.),Partly damaged (abs.),Total damaged houses (abs.),total_damage_houses_0p25weight,Partly damaged (rel.),Completely damaged (rel.),Total damaged houses (rel.),total_damage_houses_0p25weight_perc,ratio_comp_part,Total # of houses,Wind speed,Distance to typhoon,rainfall,distance_first_impact,Slope,Elevation,ruggedness_stdev,Ruggedness,slope_stdev,Predicted damage class (1-5),Population,land_area,Population density,Poverty incidence,% strong roof type,% strong wall type,% skilled Agriculture/Forestry/Fishermen,Region,prov,Experience,Bicol region
Typhoon,Hagupit,PH054117000,15,58,73,29.5,0.415576971,0.107476803,0.523053774,0.211371046,0.782350113,13956.50001,78.12562768,46.73967323,203.3142857,167.3017807,1.69027423,23.42163309,6.647803108,9.645817398,1.400355981,,55826,239.6191,232.9752,0.4765,0.650687228,0.301742919,0.187009637,central,0,1.866666667,1
Typhoon,Hagupit,PH054118000,24,239,263,83.75,4.146246259,0.416359457,4.562605716,1.452921022,0.275221858,5764.25,80.14325553,9.004971841,178.8,195.8539009,7.520728191,77.15576758,27.7155905,38.86845704,6.018578076,,23057,93.8193,245.751,0.4051,0.330924588,0.319066148,0.148197944,central,0,1.866666667,1
Typhoon,Hagupit,PH054120000,28,157,185,67.25,1.34550285,0.239962292,1.585465141,0.576338004,0.528655206,11668.5,80,1.710959256,127.8,290.3475701,5.185826825,58.86474248,17.48350976,28.0460395,3.756336604,,46674,304.4347,153.3136,0.528,0.414298808,0.289133313,0.212473754,central,0,1.866666667,1
Typhoon,Hagupit,PH056202000,1,71,72,18.75,1.35302525,0.019056694,1.372081944,0.357313006,0.43308362,5247.499999,75.18329588,47.81699665,179.4,175.7259908,4.191145435,90.72904401,14.35994355,22.86425942,3.198953349,,20990,72.032,291.3969,0.2939,0.675438596,0.674603175,0.120676513,central,0,2.8,1
Typhoon,Hagupit,PH056203000,19,203,222,69.75,0.811383349,0.075942284,0.887325633,0.278788121,0.593989276,25018.99999,90.1240165,22.23833644,182.88,184.7136119,6.154126022,74.31578507,29.71040341,32.12408326,6.42990326,,100076,240.6405,415.8624,0.3266,0.361685601,0.58146422,0.097006275,central,0,2.8,1
Typhoon,Hagupit,PH056205000,1,34,35,9.5,0.414103891,0.012179526,0.426283418,0.115705499,0.715774514,8210.499992,75.58097356,45.34740415,180,183.9091082,4.212433128,96.2743641,23.27157986,22.66957878,4.702252344,,32842,105.8532,310.278,0.2871,0.809819413,0.6875,0.109981122,central,0,2.8,1
Typhoon,Hagupit,PH056206000,14,307,321,90.75,2.123575492,0.096840576,2.220416069,0.627734449,0.351149053,14456.75,76.98985868,39.66117132,180.8,209.8793905,4.974408732,108.7510711,25.45305418,25.9754771,5.359765546,,57827,234.4426,246.6572,0.4223,0.408120007,0.534404044,0.125944628,central,0,2.8,1
Typhoon,Hagupit,PH056207000,25,628,653,182,5.05320754,0.201162721,5.25437026,1.464464605,0.198434088,12427.75,79.86873649,28.03163315,166.9714286,233.1640376,3.956048043,52.99279908,14.18806533,24.02212982,3.064929209,,49711,183.4094,271.0384,0.4413,0.280335544,0.42118611,0.117398564,central,0,2.8,1
Typhoon,Hagupit,PH056209000,8,996,1004,257,7.031167273,0.056475239,7.087642512,1.814267057,0.13154691,14165.5,83.2488371,31.57702,177.2,176.3643947,10.24244314,224.2217807,43.4290832,50.81347122,9.026013399,,56662,162.0409,349.6812,0.2845,0.538927412,0.696709083,0.071194098,central,0,2.8,1
Typhoon,Hagupit,PH056211000,11,20,31,16,0.215994384,0.118796911,0.334791295,0.172795507,0.920067499,9259.500012,83.14014245,30.45418675,183.36,195.4901322,7.739885921,99.1991391,30.39629192,39.19191924,6.470111105,,37038,134.2778,275.8352,0.4412,0.34832664,0.489558233,0.099708408,central,0,2.8,1
Typhoon,Hagupit,PH056212000,79,764,843,270,7.435342206,0.768837741,8.204179947,2.627673293,0.209693655,10275.25,92.58851487,21.25359627,174.8,169.2289871,10.70954129,132.2541719,31.61457428,53.16117507,6.988012395,,41101,167.3653,245.5686,0.4521,0.257098359,0.495147957,0.102187295,central,0,2.8,1
Typhoon,Hagupit,PH056213000,53,352,405,141,1.888310713,0.284319511,2.172630224,0.756397189,0.444661132,18641,79.54229913,33.15860295,172.8,220.7535625,2.663168936,28.62279207,9.296030812,16.18956564,1.919436733,,74564,241.4604,308.8058,0.4252,0.360877123,0.465106952,,central,0,2.8,1
Typhoon,Hagupit,PH056214000,23,292,315,96,5.204527226,0.409945638,5.614472863,1.711077444,0.227244653,5610.5,70,68.42959275,148.8,186.3546168,3.285076315,54.06221754,15.16943438,17.392381,3.309876317,,22442,67.8679,330.664,0.307,0.696499686,0.607584329,0.09990197,central,0,2.8,1
Typhoon,Hagupit,PH056215000,10,53,63,23.25,1.258309592,0.237416904,1.495726496,0.551994302,0.547939445,4211.999999,85.79122605,30.57662227,169.2,167.8268042,8.937169825,108.50781,23.06813103,43.99014574,5.295714009,,16848,63.406,265.7068,0.3554,0.408419292,0.513799833,0.120845204,central,0,2.8,1
Typhoon,Hagupit,PH056216000,42,482,524,162.5,1.146868122,0.099934567,1.246802689,0.386651597,0.512343798,42027.49999,70,55.91882189,172.2666667,198.9427953,8.824635343,220.5774242,44.0899269,44.72222753,8.943825852,,168110,339.0785,495.7798,0.1951,0.78845662,0.70165024,0.057498067,central,0,2.8,1
Typhoon,Hagupit,PH061909000,3,11,14,5.75,0.095415709,0.026022466,0.121438175,0.049876393,0.936651225,11528.5,40,149.7338907,114.6,285.9372698,0.775181146,3.991104836,3.530587022,5.125985261,0.674081427,,46127,157.4205,293.0177,0.308,0.908575608,0.454287804,0.091382227,central,0,1.210526316,0
Typhoon,Hagupit,PH061915000,1,97,98,25.25,1.502652879,0.015491267,1.518144146,0.391154487,0.405765927,6455.250001,40,166.8142553,83.4,312.7684748,5.358839014,41.91059638,25.75153332,28.51416075,5.392034166,,25820,103.8184,248.7033,0.2973,0.812643302,0.37340321,0.103675303,central,0,1.210526316,0
Typhoon,Hagupit,PH063005000,8,406,414,109.5,4.908123791,0.096711799,5.00483559,1.323742747,0.185627762,8272,40.43372375,141.4511771,161.6,260.509233,3.883486425,42.35956667,35.28392702,20.50944795,7.281666076,,33076,67.1627,492.477,0.241,0.648347568,0.436595324,0.066459139,central,0,1.228571429,0
Typhoon,Hagupit,PH063014000,189,245,434,250.25,1.437793427,1.10915493,2.546948357,1.468603286,0.865190178,17040,49.43411545,129.0168751,175.5,248.3535672,5.266979076,35.23864693,29.10406333,26.37372179,6.210980474,,68173,123.1136,553.7411,0.3577,0.726467694,0.41333858,0.155267019,central,0,1.228571429,0
Typhoon,Hagupit,PH063019000,12,459,471,126.75,3.781979978,0.098875294,3.880855271,1.044370288,0.229795043,12136.5,41.58984519,138.2083028,153.6,255.0762625,2.964785678,21.62352585,12.23365356,15.78917693,2.66301285,,48542,34.2649,1416.6545,0.2608,0.856666667,0.452350928,0.08004779,central,0,1.228571429,0
Typhoon,Hagupit,PH063027000,1,1,2,1.25,0.012965544,0.012965544,0.025931088,0.01620693,1,7712.75004,40,172.5570755,104.64,284.3318299,4.8894737,130.9968703,23.24149409,25.66503379,5.068143147,,30849,177.6408,173.6593,0.2832,0.965907629,0.331403576,0.081067064,central,0,1.228571429,0
Typhoon,Hagupit,PH072208000,1,20,21,6,0.091767324,0.004588366,0.09635569,0.027530197,0.920148775,21794.25003,40,186.3207317,107.04,239.4568705,13.32720771,283.5520326,42.51592768,68.58000311,9.20573598,,87161,266.8965,326.5712,0.2004,0.923984674,0.502784163,0.060944974,central,0,1.277777778,0
Typhoon,Hagupit,PH072218000,5,81,86,25.25,0.67643743,0.041755397,0.718192826,0.210864754,0.621410247,11974.50001,40,176.8799861,113.6,224.8425923,9.072123518,131.5568641,30.79319668,47.79893019,6.805080145,,47900,57.3192,835.674,0.182,0.946831414,0.642155487,0.041901541,central,0,1.277777778,0
Typhoon,Hagupit,PH072231000,26,266,292,92.5,1.922937902,0.187956336,2.110894238,0.668690812,0.406425445,13833,50,113.5624829,148.32,179.4776157,2.138074284,27.66145487,9.772364907,12.09325125,1.946969583,,55337,91.7616,603.0522,0.2388,0.964942756,0.511168995,0.081598352,central,0,1.277777778,0
Typhoon,Hagupit,PH072242000,22,59,81,36.75,0.427691192,0.159478072,0.587169264,0.26640087,0.81213506,13795.00001,41.57802298,144.4851728,121.92,183.8586865,2.982664144,47.1140254,13.6109974,14.80063534,3.053017523,,55170,111.123,496.4777,0.4934,0.781792855,0.469128726,0.168503081,central,0,1.277777778,0
Typhoon,Hagupit,PH072244000,1,129,130,33.25,1.804006573,0.013984547,1.81799112,0.46498619,0.36161989,7150.749999,53.04381695,116.0941644,158,191.0466784,1.734196583,18.27508651,7.144404971,8.73193527,1.701328388,,28606,35.2859,810.6896,0.3983,0.927497395,0.539365977,0.135894836,central,0,1.277777778,0
Typhoon,Hagupit,PH072247000,1,182,183,46.5,2.073601458,0.011393415,2.084994873,0.529793779,0.329058087,8777,40,149.4113734,162.24,204.030709,6.163394389,206.4711581,23.89492696,36.8351447,4.897141104,,35114,135.2743,259.577,0.334,0.939876426,0.487761407,0.128147431,central,0,1.277777778,0
Typhoon,Hagupit,PH072248000,39,387,426,135.75,3.967908133,0.399866711,4.367774844,1.391843744,0.281781924,9753.250001,44.42542945,131.5094038,177,189.5130985,6.202721239,112.1689087,22.12526786,34.55307538,4.593025909,,39006,106.5591,366.0511,0.3477,0.945540399,0.385834208,0.111168072,central,0,1.277777778,0
Typhoon,Hagupit,PH082608000,22,266,288,88.5,7.995190863,0.661256387,8.65644725,2.660054103,0.184682728,3327,67.55252148,81.72217452,255.36,82.32212197,6.641969628,127.1416144,22.41125403,33.64195807,5.012558893,,13316,115.2418,115.5579,0.481,0.952009972,0.256777812,0.163961527,central,0,1.545454545,0
Typhoon,Hagupit,PH082609000,31,799,830,230.75,6.031212847,0.234002,6.265214848,1.741805212,0.175503434,13247.75,55.26806444,121.3332237,249.2307692,121.3570561,5.714613761,72.92487772,22.41254648,27.41985107,5.012478895,,52982,219.2172,241.6838,0.3651,0.97094431,0.333306439,0.125511879,central,0,1.545454545,0
Typhoon,Hagupit,PH082610000,79,712,791,257,33.22057623,3.685990902,36.90656713,11.99113496,0.136934892,2143.25,80.01889014,67.00786402,298.8,66.97882123,5.594387701,95.91010101,19.68050494,28.35114614,4.343749728,,8559,61.3416,139.5317,0.5266,0.94,0.263157895,0.154554998,central,0,1.545454545,0
Typhoon,Hagupit,PH082614000,109,684,793,280,50.60107268,8.063621232,58.66469392,20.7138894,0.175647923,1351.75,104.3064644,24.79253732,374.7428571,34.90835871,8.550892156,256.6714834,25.79027334,43.83900767,5.7491953,,5413,373.89,14.4773,0.6046,0.734463277,0.108286252,0.182726096,central,0,1.545454545,0
Typhoon,Hagupit,PH082616000,8,417,425,112.25,27.47940692,0.527182867,28.00658979,7.397034596,0.053624111,1517.5,60.76343096,95.0954682,257.4,95.3065328,2.479752997,22.41438788,15.70318281,13.07596798,3.408689862,,6076,24.6512,246.4767,0.4492,0.984282908,0.290111329,,central,0,1.545454545,0
Typhoon,Hagupit,PH083710000,12,3,15,12.75,0.02275658,0.091026322,0.113782902,0.096715467,1.066750723,13183.00003,50.78764581,106.8075847,175.8857143,125.6671284,11.05439383,318.207168,48.6513663,57.40033782,9.658842296,,52732,380.156,138.7084,0.3668,0.887645837,0.368500918,0.094022605,central,0,1.181818182,0
Typhoon,Hagupit,PH083717000,27,434,461,135.5,4.939255128,0.307280849,5.246535977,1.542094631,0.220108552,8786.750001,60,91.90286698,180,110.5173433,2.890689149,97.79804408,14.82324558,15.12638963,3.099314785,,35149,152.6489,230.2614,0.4617,0.955311268,0.32971101,0.069394258,central,0,1.181818182,0
Typhoon,Hagupit,PH083719000,22,341,363,107.25,2.150368117,0.138733427,2.289101543,0.676325456,0.361460434,15857.75,40,164.2859858,137.4857143,177.9170243,8.051600362,157.4651263,35.92351825,41.92877041,7.540679285,,63434,237.1764,267.4584,0.3743,0.834296456,0.520988514,0.089845659,central,0,1.181818182,0
Typhoon,Hagupit,PH083721000,1,7,8,2.75,0.136253041,0.01946472,0.155717762,0.053527981,0.897216274,5137.499985,40.02875563,153.2428726,143.04,167.9489538,14.846416,405.5913494,45.88958903,76.68735868,9.442469905,,20547,149.7575,137.1997,0.3277,0.916326531,0.635306122,0.130997567,central,0,1.181818182,0
Typhoon,Hagupit,PH083728000,1,178,179,45.5,3.560356036,0.020002,3.580358036,0.910091009,0.223667186,4999.5,50,112.2870643,180.6,126.0955093,7.789671206,195.3267118,45.75849725,39.9555288,8.881277137,,19995,116.4101,171.7625,0.4538,0.911640105,0.304821465,,central,0,1.181818182,0
Typhoon,Hagupit,PH083731000,1,117,118,30.25,1.682061604,0.014376595,1.696438199,0.434891996,0.378207791,6955.749998,41.6373926,145.8035509,163.2,155.0973685,11.34233634,217.5792833,38.10316154,58.37306187,7.976657764,,27827,232.6696,119.5988,0.397,0.894728331,0.561610608,0.092046149,central,0,1.181818182,0
Typhoon,Hagupit,PH084801000,19,10,29,21.5,0.157053673,0.298401979,0.455455652,0.337665397,1.122162272,6367.25,89.07151421,31.67720037,175.8,139.8330973,7.06459787,77.24141168,18.43993543,36.06867421,4.417292722,,25460,53.8394,472.8888,0.3507,0.491288566,0.485942318,0.102516785,central,0,2.333333333,0
Typhoon,Hagupit,PH084802000,18,689,707,190.25,23.42143282,0.611880683,24.0333135,6.467238888,0.066002707,2941.75,80,50.54421701,176.4,140.2506639,5.281523364,28.37818553,19.48155612,28.35554192,4.242815566,,11766,31.5285,373.1857,0.5536,0.311229001,0.409814324,0.14005269,central,0,2.333333333,0
Typhoon,Hagupit,PH084816000,3,513,516,131.25,19.50570342,0.114068441,19.61977186,4.990494297,0.054329687,2630,80,39.35038669,188.8,127.3896034,4.220448939,57.65591699,18.54261079,23.01256923,4.079709439,,10523,73.6927,142.7955,0.4346,0.456329735,0.334151129,0.128422053,central,0,2.333333333,0
Typhoon,Hagupit,PH084819000,375,420,795,480,9.56665338,8.541654803,18.10830818,10.93331815,0.902996858,4390.250001,80,41.20022747,200.4,121.4139111,5.737832244,69.18594201,29.29834252,30.31673634,6.403873003,,17562,98.5801,178.1592,0.4809,0.527076761,0.321766562,0.108080405,central,0,2.333333333,0
Typhoon,Hagupit,PH084821000,29,677,706,198.25,34.47046843,1.476578411,35.94704684,10.09419552,0.069820854,1964,105.6358625,0.89866727,208.8,156.3514843,11.29352379,60.18341014,26.51511573,54.09718396,6.161610154,,7851,21.9778,357.2267,0.4568,0.525320317,0.409506399,0.217795316,central,0,2.333333333,0
Typhoon,Hagupit,PH084823000,54,820,874,259,22.13673483,1.457784977,23.59451981,6.991968685,0.106228688,3704.25,87.61813287,30.28795301,199.2,126.1291946,6.672510606,133.4548947,23.86494612,35.12484421,5.334722448,,14812,163.5093,90.5911,0.4086,0.632907448,0.465109034,0.114733077,central,0,2.333333333,0
Typhoon,Hagupit,PH086001000,54,275,329,122.75,12.30149855,2.415566987,14.71706553,5.490941624,0.256780616,2235.500001,98.79541997,21.20710362,219.6,121.7446717,17.97499265,147.5772806,29.46062896,87.4550256,6.754645773,,8940,29.4504,303.5614,0.4805,0.547106648,0.524128046,0.156452695,central,0,1.4,0
Typhoon,Hagupit,PH086011000,172,785,957,368.25,43.0845225,9.440175631,52.52469813,20.21130626,0.236821792,1822,92.58745668,32.46492551,330.6,55.39953608,8.146518314,291.263345,24.4103475,43.58423695,5.37971178,,7303,460.0429,15.8746,0.5178,0.53296322,0.081193616,0.182354555,central,0,1.4,0
Typhoon,Hagupit,PH086014000,63,523,586,193.75,26.9275325,3.243660703,30.1711932,9.975543828,0.151952583,1942.25,110.0974884,18.78128069,315.7333333,44.31335737,9.863232348,332.512995,24.97691352,48.71518158,5.776165054,,7767,365.3228,21.2606,0.4321,0.650485437,0.055218447,0.191401725,central,0,1.4,0
Typhoon,Hagupit,PH086407000,1,4,5,2,0.018700327,0.004675082,0.023375409,0.009350164,0.986232217,21390.00006,40,189.9107561,116.64,200.4830963,8.887120613,243.0446534,27.659961,46.94290916,6.171026322,,85572,250.8088,341.187,0.2938,0.912205914,0.606356572,0.072417017,central,0,1,0
Typhoon,Hagupit,PH086418000,4,29,33,11.25,0.698458574,0.096339114,0.794797688,0.270953757,0.645490641,4151.999999,40,179.8203298,140.4,187.912553,11.37567254,266.4062983,30.22641678,57.11776259,6.666068814,,16618,72.8491,228.1146,0.4221,0.942951179,0.521667581,0.093629576,central,0,1,0
Typhoon,Hagupit,PH087802000,25,65,90,41.25,1.540101884,0.592346878,2.132448762,0.977372349,0.626883074,4220.5,80,49.73062843,203.4,112.2873823,9.785658394,250.7047761,42.8725834,49.01914432,8.775216404,,16879,75.1853,224.4985,0.3265,0.91503268,0.488888889,0.093116929,central,0,1.25,0
Typhoon,Hagupit,PH087807000,9,173,182,52.25,9.666154491,0.502863528,10.16901802,2.919402151,0.140900221,1789.75,90,33.17922095,216,121.1210891,17.89483402,229.3539874,52.56472931,88.9706948,10.00740739,,7154,35.2664,202.8579,0.4175,0.62974112,0.466586394,0.114122084,central,0,1.25,0
Typhoon,Hagupit,PH166718000,18,41,59,28.25,3.034789045,1.33234641,4.367135455,2.091043671,0.578059072,1351,40,226.6895357,62.4,226.7698181,6.104292277,44.43467252,30.93425589,36.11705738,5.753339213,,5395,61.8234,87.2646,0.424,0.601351351,0.29222973,0.173390081,minandao,0,1.181818182,0
Typhoon,Hagupit,PH166721000,29,152,181,67,6.902815622,1.316984559,8.219800182,3.042688465,0.293184691,2202,40,219.8830216,67.2,220.3050681,5.223598459,49.79359823,19.64657917,27.81037085,4.140562556,,8817,37.8383,233.016,0.361,0.659574468,0.449341439,0.136693915,minandao,0,1.181818182,0
Typhoon,Hagupit,PH175901000,4,47,51,15.75,1.149776772,0.097853342,1.247630114,0.385297535,0.510682484,4087.750001,41.11811676,123.2603658,82.8,369.9643948,10.80281946,172.6706203,30.75833423,55.07530846,6.843741354,,16357,82.6221,197.9734,0.3539,0.625750136,0.579650846,0.084459666,central,0,2.034482759,0
Typhoon,Hagupit,PH175902000,1,7,8,2.75,0.505780347,0.072254335,0.578034682,0.198699422,0.712092131,1384,60,54.11352766,132,382.5476926,17.22623177,198.8944299,41.705308,86.08449577,8.56454642,,5528,33.5121,164.9639,0.3065,0.797040169,0.670190275,0.190570809,central,0,2.034482759,0
Typhoon,Hagupit,PH175903000,2,5,7,3.25,0.091487123,0.036594849,0.128081972,0.05946663,0.94970873,5465.25002,60,79.42491306,89.6,308.1903843,14.89035769,233.4184704,43.5092993,74.64245511,9.324417385,,21861,150.6262,145.1345,0.3813,0.620076752,0.484346597,0.141301862,central,0,2.034482759,0
Typhoon,Hagupit,PH175904000,7,119,126,36.75,4.632603406,0.272506083,4.905109489,1.430656934,0.225917927,2568.75,50.45347454,89.35389315,79.2,373.7442219,12.3452493,151.1230499,29.4821518,59.18174412,6.619602607,,10273,44.5549,230.5709,0.3546,0.6046107,0.485863419,0.10919708,central,0,2.034482759,0
Typhoon,Hagupit,PH175906000,1,2,3,1.5,0.077798308,0.038899154,0.116697462,0.058348731,0.963908689,2570.749996,60,68.82758786,115.2,380.0940912,7.553157442,60.05417515,27.50045968,36.30570127,6.230490101,,10278,23.9977,428.2917,0.4742,0.321443048,0.462910418,0.181756297,central,0,2.034482759,0
Typhoon,Hagupit,PH175910000,3,37,40,12.25,0.381856649,0.03096135,0.412817999,0.126425512,0.746069681,9689.499997,57.04561655,91.03766982,79.2,349.1964901,13.34660218,141.1623131,27.71070462,65.03719334,6.553335798,,38767,103.9605,372.9025,0.2689,0.707295174,0.610325477,0.079054647,central,0,2.034482759,0
Typhoon,Hagupit,PH175916000,2,12,14,5,0.689259047,0.114876508,0.804135554,0.287191269,0.659979599,1741.000001,40,122.9907634,57.6,381.3310882,6.712919178,62.03239062,21.76640755,34.94227644,4.820264853,,6960,40.613,171.3739,0.3067,0.655777374,0.433151845,0.144600804,central,0,2.034482759,0
Typhoon,Haima,PH012801000,1,50,51,13.5,11.16071429,0.223214286,11.38392857,3.013392857,0.100587372,448.0000001,120,31.47291694,218,158.6467951,16.82703785,558.7500188,39.76237568,84.40795343,8.536798149,,1808,127.0823,14.227,0.1791,0.97323601,0.610705596,0.155691964,north luzon,0,3.262295082,0
Typhoon,Haima,PH012802000,53,351,404,140.75,4.358218221,0.658078535,5.016296756,1.74763309,0.309445877,8053.75,110,0.348974368,188.4,177.956904,2.127614251,23.79743202,12.14330858,12.05174624,2.49154601,,32496,63.011,515.7043,0.1141,0.994298302,0.91136452,0.102778209,north luzon,0,3.262295082,0
Typhoon,Haima,PH012803000,137,1618,1755,541.5,20.47064777,1.733299595,22.20394737,6.850961538,0.127304012,7903.999999,90,41.42360136,256.2,178.1485116,7.368456376,97.69650248,39.58077608,37.36870224,8.268917191,,31893,91.8767,347.1266,0.1404,0.916422082,0.821383648,0.131990132,north luzon,0,3.262295082,0
Typhoon,Haima,PH012804000,7,332,339,90,9.051254089,0.190839695,9.242093784,2.453653217,0.118476728,3668,120.5933241,28.00955135,204.96,175.9726254,11.93800868,220.4654922,41.11406872,59.74079591,8.831068209,,14802,131.2743,112.7567,0.1197,0.961233729,0.890209394,0.093852236,north luzon,0,3.262295082,0
Typhoon,Haima,PH012805000,1,212,213,54,1.536204054,0.007246246,1.5434503,0.391297259,0.397147163,13800.25,96.94714288,24.8703973,217.6,173.1086477,5.234450425,91.41103906,23.80632038,27.48998066,5.180506636,,55635,180.1741,308.7803,0.11,0.977486233,0.866699061,0.095922175,north luzon,0,3.262295082,0
Typhoon,Haima,PH012806000,1,375,376,94.75,15.34212949,0.040912345,15.38304183,3.876444717,0.063695025,2444.25,120.8908133,22.77743301,189.2,184.6453715,4.79404988,168.2098345,17.8783981,24.79368848,3.935199247,,9777,156.2251,62.5827,0.1378,0.897959184,0.807823129,0.130203539,north luzon,0,3.262295082,0
Typhoon,Haima,PH012807000,1,30,31,8.5,7.657945118,0.255264837,7.913209955,2.169751117,0.144984153,391.75,111.244204,5.382044244,213.6,151.2631497,20.40125279,764.7572137,43.43542515,102.1196513,9.221517341,,1567,197.8154,7.9215,0.1427,0.983552632,0.898026316,0.16145501,north luzon,0,3.262295082,0
Typhoon,Haima,PH012808000,2,89,91,24.25,2.921864741,0.065659882,2.987524622,0.796126067,0.271722752,3046,90.52232902,31.20192063,222,181.1885213,3.140493547,33.06308118,12.03597771,16.73667051,2.671348576,,12184,37.9957,320.6629,0.1291,0.956734387,0.871331828,0.095124754,north luzon,0,3.262295082,0
Typhoon,Haima,PH012809000,6,162,168,46.5,1.680410767,0.062237436,1.742648203,0.482340128,0.396296511,9640.499999,100.0476274,15.16163699,216.48,160.256684,2.258665102,55.60992308,18.49392232,11.73471145,4.014864712,,38562,123.6676,311.8179,0.1452,0.973433405,0.885513462,0.136792698,north luzon,0,3.262295082,0
Typhoon,Haima,PH012810000,2,9,11,4.25,1.221581269,0.271462504,1.493043773,0.576857822,0.572323201,736.7500002,120,30.41902625,216,167.2206249,18.88054832,528.7514364,41.05439703,93.1010917,8.829718886,,2947,76.2279,38.6603,0.2105,0.965765766,0.852252252,0.13064133,north luzon,0,3.262295082,0
Typhoon,Haima,PH012811000,16,158,174,55.5,3.251363309,0.329251981,3.58061529,1.142092808,0.312664876,4859.5,94.58351749,29.01008546,226.2,164.0532914,3.64098758,105.5413809,20.91135161,18.76872109,4.571892195,,19438,103.946,186.9995,0.1576,0.945261253,0.832390862,0.153719519,north luzon,0,3.262295082,0
Typhoon,Haima,PH012812000,39,485,524,160.25,1.745781777,0.140382452,1.886164229,0.576827897,0.41532159,27781.25001,105.460477,9.161385124,195,178.7129734,1.823347573,17.7885362,10.57800065,10.36586643,2.235979605,,111125,125.3665,886.387,0.0963,0.98695596,0.927332214,0.050150731,north luzon,0,3.262295082,0
Typhoon,Haima,PH012813000,2,48,50,14,1.080047252,0.045001969,1.125049221,0.315013782,0.50239338,4444.25,100,21.49817946,224.4,161.4089211,3.750182273,88.24527708,25.09087476,18.93725165,5.418180824,,17777,90.6029,196.2077,0.155,0.960704261,0.87445777,0.159925747,north luzon,0,3.262295082,0
Typhoon,Haima,PH012814000,156,190,346,203.5,7.994950558,6.564275195,14.55922575,8.563012834,0.840946834,2376.5,99.07674049,22.24282346,240.48,151.4035734,20.23054409,667.4897674,49.90886312,102.5611316,10.25245736,,9506,695.2339,13.673,0.1697,0.857703631,0.723748773,0.10225121,north luzon,0,3.262295082,0
Typhoon,Haima,PH012815000,21,677,698,190.25,11.39251157,0.353386622,11.74589819,3.201514514,0.109210035,5942.500001,117.6756466,40.18205661,207.6,170.3904472,14.17014674,258.5435046,52.19052762,71.41821672,10.74516878,,23770,220.6961,107.7043,0.1578,0.802100608,0.790860512,0.102187632,north luzon,0,3.262295082,0
Typhoon,Haima,PH012816000,25,896,921,249,14.41325505,0.402155554,14.8154106,4.005469316,0.090970762,6216.5,98.91831298,23.04283721,196.2,181.1205269,2.235932408,21.82137021,9.631257968,12.50707511,2.10008718,,24866,75.5702,329.0471,0.1124,0.919793966,0.882266372,0.126236628,north luzon,0,3.262295082,0
Typhoon,Haima,PH012817000,17,236,253,76,3.25741891,0.234644582,3.492063492,1.04899931,0.289998379,7245,112.4852827,11.31713303,194.4,180.0385715,6.15634358,193.9217104,25.49462402,30.67021958,5.540012438,,28980,201.3574,143.9251,0.1275,0.936655799,0.851731098,0.128329883,north luzon,0,3.262295082,0
Typhoon,Haima,PH012818000,6,53,59,19.25,0.986184119,0.111643485,1.097827604,0.358189515,0.559688034,5374.249999,109.7951459,3.372091874,203.2,160.9336611,7.077357736,172.303911,33.211905,35.94100182,7.158092277,,21497,141.0848,152.3696,0.1397,0.967735306,0.86621455,0.193189747,north luzon,0,3.262295082,0
Typhoon,Haima,PH012819000,60,895,955,283.75,20.69364162,1.387283237,22.08092486,6.560693642,0.110045297,4324.999999,90,35.71623177,239.2,175.3120255,6.312666922,94.05565741,25.103769,31.86590958,5.539563221,,17300,72.447,238.7937,0.1417,0.946747114,0.809548793,0.169190751,north luzon,0,3.262295082,0
Typhoon,Haima,PH012820000,1,72,73,19,0.783972125,0.010888502,0.794860627,0.206881533,0.566650391,9184.000002,100,13.44357019,201.6,175.2435076,2.773966783,36.92625721,13.10152095,15.49257229,2.686798128,,36736,47.7907,768.7202,0.1139,0.989676268,0.926076982,0.041975174,north luzon,0,3.262295082,0
Typhoon,Haima,PH012821000,2,71,73,19.75,1.126447723,0.031730922,1.158178645,0.313342853,0.485189883,6303,101.2715237,12.32515358,208.8,169.5714683,4.731913837,57.46491871,25.26952204,23.7575756,5.516498441,,25212,64.8693,388.6582,0.1228,0.989810511,0.900250268,0.103760114,north luzon,0,3.262295082,0
Typhoon,Haima,PH012822000,28,205,233,79.25,3.399527383,0.464325691,3.863853074,1.314207537,0.332837045,6030.25,105.8449906,9.681665733,220.2,153.8535573,4.631416541,118.8286717,32.81573429,23.41469146,6.887338834,,24121,103.1912,233.75,0.1333,0.977609108,0.898481973,0.178475188,north luzon,0,3.262295082,0
Typhoon,Haima,PH012823000,2,52,54,15,0.645561763,0.024829299,0.670391061,0.186219739,0.622783855,8055.000005,115.4512356,13.03001251,204.2181818,164.3129252,14.61855291,394.5619052,42.11111624,72.59247011,9.109263553,,32220,606.1791,53.1532,0.1343,0.990111892,0.909966172,0.176877716,north luzon,0,3.262295082,0
Typhoon,Haima,PH012901000,1,59,60,15.75,3.525018671,0.059746079,3.58476475,0.941000747,0.234197062,1673.75,60,141.3182217,310.8,189.4623639,21.70407813,566.7131523,60.65795461,110.877727,11.35496762,,6695,130.5949,51.2654,0.2372,0.990508475,0.811525424,0.15459298,north luzon,0,2.068965517,0
