disaster_type,disaster_name,pcode,Completely damaged (abs.),Partly damaged (abs.),Total damaged houses (abs.),total_damage_houses_0p25weight,Partly damaged (rel.),Completely damaged (rel.),Total damaged houses (rel.),total_damage_houses_0p25weight_perc,ratio_comp_part,Total # of houses,Wind speed,Distance to typhoon,rainfall,distance_first_impact,Slope,Elevation,ruggedness_stdev,Ruggedness,slope_stdev,Predicted damage class (1-5),Population,land_area,Population density,Poverty incidence,% strong roof type,% strong wall type,% skilled Agriculture/Forestry/Fishermen,Region,prov,Experience,Bicol region
Typhoon,Bopha,PH072240000,92,344,436,178,6.588776097,1.762114537,8.350890634,3.409308562,0.36397365,5221,85.42632287,41.37067895,192.342631,414.058593,8.300816568,318.2309053,20.90317136,41.30193891,4.746062962,,20878,62.1684,335.8307,0.3174,0.767467735,0.416555407,0.13364298,central,0,1.277777778,0
Typhoon,Bopha,PH072241000,1,1,2,1.25,0.006035003,0.006035003,0.012070006,0.007543754,1,16570.00005,50,125.538179,244,427.0871652,9.481257449,162.173317,32.64599876,50.58407542,6.847027891,,66274,90.1156,735.4355,0.2065,0.923715109,0.60219363,0.045956548,central,0,1.277777778,0
Typhoon,Bopha,PH072245000,65,513,578,193.25,11.49129193,1.456011648,12.94730358,4.328834631,0.196617905,4464.249999,90,35.10460488,153,410.190629,6.058902812,199.764899,17.19534846,28.78472504,4.025482566,,17861,39.5831,451.227,0.2792,0.806823529,0.475058824,0.140561125,central,0,1.277777778,0
Typhoon,Bopha,PH072246000,1,39,40,10.75,0.323745486,0.008301166,0.332046653,0.089237538,0.761703195,12046.49998,59.28649588,104.9548739,207.0215376,423.6739402,8.788548484,227.2329406,27.21204034,44.03844452,5.861569173,,48192,127.0373,379.353,0.2568,0.936700939,0.444702727,0.102809945,central,0,1.277777778,0
Typhoon,Bopha,PH076101000,2,314,316,80.5,20.57667104,0.131061599,20.70773263,5.275229358,0.052420579,1526,99.38303289,32.35139781,196.3464271,371.0220759,7.87227698,98.64649682,28.1702664,39.7391868,6.071977999,,6118,31.6747,193.1527,0.1977,0.883594282,0.459496256,0.144495413,central,0,1,0
Typhoon,Bopha,PH076102000,38,322,360,118.5,9.301653788,1.097710695,10.39936448,3.423124142,0.203628538,3461.750001,102.0630877,28.80818213,196.6790467,372.7692448,8.877136028,175.5398698,23.45772392,44.9559774,5.263513618,,13836,49.4526,279.7802,0.0781,0.919753086,0.510721248,0.088250162,central,0,1,0
Typhoon,Bopha,PH076103000,100,687,787,271.75,13.4114202,1.952171791,15.363592,5.305026842,0.20484947,5122.499999,113.8612463,19.02312861,197,367.3482935,5.320284859,153.561285,19.42644472,27.85969204,4.18815074,,20490,84.8456,241.4976,0.2863,0.915216957,0.460107978,0.176281113,central,0,1,0
Typhoon,Bopha,PH076104000,66,875,941,284.75,25.31096326,1.9091698,27.22013306,8.236910616,0.11056873,3457,107.2825953,25.13775758,197,364.6463004,5.316922772,99.20633284,24.72607119,26.92712391,5.162141476,,13836,68.2522,202.7194,0.254,0.891497462,0.487944162,0.175368817,central,0,1,0
Typhoon,Bopha,PH076105000,46,427,473,152.75,11.49858624,1.238723576,12.73730982,4.113370136,0.179118145,3713.499999,119.9152463,15.92376057,159.1168406,376.6157655,5.140578582,105.3164452,17.69795464,25.86170272,3.913238877,,14860,48.399,307.0322,0.3139,0.868980963,0.651175812,0.158273866,central,0,1,0
Typhoon,Bopha,PH076106000,51,748,799,238,11.13882581,0.759465396,11.8982912,3.544171848,0.144945271,6715.250002,111.1651873,20.7305419,155.3117602,376.915168,5.944934854,206.1386022,21.63049321,31.91540705,4.755870992,,26857,101.988,263.3365,0.186,0.911963528,0.644137064,0.136852686,central,0,1,0
Typhoon,Bopha,PH101301000,46,801,847,246.25,9.331314073,0.535880708,9.867194781,2.868709226,0.148662667,8584,118.3885912,13.14034194,417.4009526,216.7217817,12.30737202,731.3722817,61.21646576,65.13937094,11.52121882,,34267,517.0567,66.2732,0.4616,0.962682603,0.280478088,0.068557782,minandao,0,1,0
