pcode,N damaged,P damaged,N houses,Wind speed,Distance to typhoon,Poverty incidence,p strong roof,p strong wall,Experience,Region
PH103518000,3,0.000376825,7961.250013,60.00137387,88.67120622,0.6866,0.567369654,0.38682284,1,minandao
PH103519000,27,0.005068281,5327.250001,54.82145064,97.79624543,0.5843,0.597841066,0.317409279,1,minandao
PH103520000,1,0.000301818,3313.249999,90,41.85363247,0.6985,0.939905734,0.071877455,1,minandao
PH103522000,1,8.48E-05,11791.25,68.56966142,80.98138783,0.3799,0.752123482,0.360215545,1,minandao
PH104201000,6,0.000868778,6906.250004,84.23772788,47.09865014,0.3958,0.716299699,0.472200222,1,minandao
PH104202000,6,0.001404166,4272.999992,99.36666783,32.23348302,0.4961,0.500130174,0.269200729,1,minandao
PH104205000,34,0.00362203,9387.000008,71.94618366,64.69767897,0.3347,0.807984562,0.463885204,1,minandao
PH104207000,1,0.000144645,6913.50005,80.00791103,53.0156186,0.2795,0.810369431,0.521484065,1,minandao
PH104208000,1,0.000159649,6263.750008,91.08369891,39.76051208,0.4421,0.692917456,0.324831983,1,minandao
PH104209000,12,0.000678378,17689.25003,87.46846252,42.77633893,0.2224,0.804100367,0.487025704,1,minandao
PH104210000,23,0.000648673,35457.00004,70,69.74764163,0.2093,0.902653075,0.430601499,1,minandao
PH104211000,1,0.000391811,2552.250013,82.52431773,48.60330102,0.3177,0.783042394,0.471321696,1,minandao
PH104216000,10,0.001382552,7233.000007,75.46633891,61.72313264,0.3807,0.766542981,0.409245516,1,minandao
PH104301000,5,0.000672857,7430.999995,120.1973165,3.58051988,0.3543,0.728726891,0.32791399,1,minandao
PH104303000,1,0.000361958,2762.749997,80,63.0469159,0.3326,0.941150245,0.414177441,1,minandao
PH104304000,11,0.005854957,1878.75,80.00127926,57.23777067,0.2873,0.913328956,0.439264609,1,minandao
PH104305000,29,0.00017161,168987.4992,117.3769913,6.286721428,0.0773,0.974883085,0.68035894,1,minandao
PH104306000,1,8.18E-05,12226.5,89.46781781,42.65447886,0.3908,0.907146108,0.26827492,1,minandao
PH104307000,7,0.000557724,12551,124.9031319,2.212585175,0.2369,0.76903467,0.433766675,1,minandao
PH104308000,239,0.007669598,31162,78.32962097,58.92611511,0.2774,0.873526056,0.36613829,1,minandao
PH104309000,8,0.001954437,4093.250007,121.2196454,1.675918814,0.3503,0.801401869,0.410955348,1,minandao
PH104312000,4,0.001111806,3597.750003,80,62.14618103,0.2758,0.797252011,0.355227882,1,minandao
PH104314000,1,0.000163901,6101.25,127.1545873,6.965670899,0.3541,0.892219843,0.511955746,1,minandao
PH104315000,3,0.000971345,3088.5,120,2.725629118,0.4711,0.82046546,0.428518655,1,minandao
PH104316000,15,0.003036745,4939.5,109.5556169,24.97907794,0.2125,0.945333943,0.466148216,1,minandao
PH104317000,56,0.006473053,8651.25,69.72003371,83.26328832,0.4824,0.683931133,0.315351506,1,minandao
PH104318000,1,0.000140736,7105.500001,110,19.55641656,0.2824,0.904328733,0.398966165,1,minandao
PH104321000,2,0.000130075,15375.74999,119.4467432,6.253520378,0.1427,0.868722278,0.573401059,1,minandao
PH104322000,66,0.009197004,7176.25,85.40007239,53.29265136,0.2785,0.849047386,0.397166585,1,minandao
PH104323000,4,0.001734229,2306.5,80,58.87832247,0.406,0.979419525,0.406860158,1,minandao
PH104324000,3,0.000164046,18287.50001,114.4073759,19.25903256,0.1398,0.960557123,0.464437909,1,minandao
PH104325000,3,0.000489696,6126.25,80,66.89646309,0.29,0.906403013,0.401694915,1,minandao
PH104326000,1,0.00010158,9844.500013,109.4042765,23.480239,0.2024,0.932245186,0.573843625,1,minandao
PH112301000,1,6.74E-05,14830.5,122.6464384,17.39432132,0.3918,0.846423358,0.374160584,1,minandao
PH112303000,15,0.000803439,18669.75006,89.6909878,48.74126669,0.2667,0.853109385,0.471675396,1,minandao
PH112305000,1,5.24E-05,19083.5,126.8186648,8.665300916,0.3336,0.795836249,0.413002915,1,minandao
PH112314000,87,0.00634527,13711,123.8377342,17.16228685,0.4155,0.915258349,0.39953101,1,minandao
PH112324000,125,0.018761022,6662.75,130,10.4122232,0.4319,0.961181832,0.248310545,1,minandao
PH112501000,6900,0.490745186,14060.25,147.1055652,6.503490546,0.2617,0.921562712,0.428086583,1,minandao
PH112503000,2980,0.880679719,3383.75,103.5262494,28.54064478,0.2759,0.93298005,0.430572852,1,minandao
PH112504000,2017,0.19980683,10094.75,109.1011438,29.38076707,0.516,0.479766879,0.174620629,1,minandao
PH112505000,9729,0.956073113,10176,128.835801,12.52650314,0.2883,0.872729149,0.43614607,1,minandao
